Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,166.500000,171.940002,166.179993,171.440002,167.583481,1426451
2018-01-04,172.500000,174.839996,171.279999,174.440002,170.515991,1564533
2018-01-05,176.500000,179.679993,176.300003,179.199997,175.168915,2195933
2018-01-08,180.899994,180.979996,179.139999,179.839996,175.794510,1162286
2018-01-09,179.839996,181.559998,178.220001,180.240005,176.185516,1061304
2018-01-10,179.619995,180.160004,177.240005,178.199997,174.191406,1086120
2018-01-11,177.880005,179.440002,176.220001,177.800003,173.800415,1037871
2018-01-12,179.800003,180.300003,178.839996,179.820007,175.774979,983517
2018-01-15,180.800003,180.800003,178.500000,179.899994,175.853165,696267
2018-01-16,180.179993,185.740005,179.880005,184.000000,179.860931,1960833
2018-01-17,183.820007,183.899994,180.059998,180.699997,176.635162,1479320
2018-01-18,182.080002,182.100006,179.320007,179.960007,175.911819,1187082
2018-01-19,179.600006,183.720001,179.399994,183.720001,179.587234,1565822
2018-01-22,182.919998,188.899994,182.279999,188.500000,184.259705,1764845
2018-01-23,189.660004,192.460007,186.419998,187.259995,183.047592,1849879
2018-01-24,188.000000,188.979996,184.020004,184.020004,179.880493,1350565
2018-01-25,182.839996,184.820007,179.460007,181.380005,177.299881,1492560
2018-01-26,181.820007,182.619995,180.580002,181.899994,177.808167,834092
2018-01-29,184.899994,185.800003,182.000000,182.080002,177.984131,1031696
2018-01-30,180.500000,182.020004,178.300003,178.600006,174.582413,1345896
2018-01-31,178.259995,180.880005,176.660004,177.020004,173.037949,1292804
2018-02-01,178.520004,181.619995,175.100006,177.600006,173.604904,1419121
2018-02-02,176.399994,177.100006,171.360001,172.059998,168.189529,2080247
2018-02-05,170.399994,171.440002,168.699997,168.839996,165.041962,1675116
2018-02-06,160.000000,168.580002,158.059998,165.259995,161.542480,2841768
2018-02-07,168.679993,172.100006,166.500000,171.380005,167.524826,2177110
2018-02-08,170.380005,171.800003,163.300003,164.800003,161.092834,1738159
2018-02-09,164.440002,167.880005,161.899994,163.199997,159.528824,2218393
2018-02-12,166.279999,168.960007,164.880005,165.860001,162.128998,1439752
2018-02-13,166.000000,167.020004,163.559998,163.720001,160.037140,1042373
2018-02-14,165.600006,166.860001,160.479996,166.080002,162.344040,1555342
2018-02-15,167.820007,169.600006,163.440002,165.080002,161.366547,1400673
2018-02-16,166.479996,168.300003,165.820007,167.279999,163.517044,1239702
2018-02-19,168.020004,168.619995,165.339996,165.860001,162.128998,632594
2018-02-20,166.000000,166.500000,162.380005,164.860001,161.151489,1260827
2018-02-21,164.380005,164.380005,161.639999,163.559998,159.880737,1137050
2018-02-22,161.779999,164.639999,160.259995,163.919998,160.232635,1123920
2018-02-23,164.619995,165.419998,159.000000,162.600006,158.942337,1946368
2018-02-26,164.000000,168.100006,163.380005,165.539993,161.816193,1690344
2018-02-27,166.320007,166.940002,162.199997,164.059998,160.369476,1488978
